1796.57;631;3630.43;82.42;58;41.74
3755.14;1364.86;7011.29;81.74;58.43;64.04
3424.57;1361.86;6940.29;82.69;76.29;64.04
3086.71;1047.71;7324.43;86.01;86.29;64.04
5191.43;874.86;7359.57;91.1;108.43;8.88
5211.71;1259.86;7106.57;92.53;119.86;10.82
4963.29;1188.86;6719.43;91.29;96.57;8.88
4779.43;1091.86;7229.29;89.61;86.29;5.14
4651.57;1271.29;7459.14;88.5;77.71;6.97
4937.43;1322.43;7658.57;86.75;70;4.12
5766.57;1339.71;7917.14;85.06;75.86;8.38
6448.14;1249.57;7728.86;81.26;73.57;12.32
4778.57;1205;7284.57;77.05;69.71;11.21
4109;1241.29;7106.43;75.08;60;11.64
4454.29;1257.14;7428.57;72.22;52.71;11.09
5102.86;1215.71;7342.86;68.4;50.43;17.03
4855.71;1182.57;7258.43;65.03;54.29;16.37
4753.29;1106.43;6851.71;60.61;51;20.03
5015.14;1164.57;7021.71;57.7;47.43;26.29
4373.14;1116;7216.43;55.99;46.57;19.99
4485.71;1128.29;6916;65.48;90.29;22.81
4091.71;1132.14;6655.71;73.4;107.57;11.11
5391.71;1188.14;7063.86;74.5;58.71;4
5908.43;1205.14;7008.86;75.03;78.71;13.96
7175.71;765.71;6932;74.33;106.43;13.31
7024.43;665.29;6866.14;70.7;99.14;13.71
6969;741.29;6936.29;66.71;91.71;15.83
6439.43;761.57;6870.43;63.42;80.14;17.56
6028.57;799.71;6746.29;59.51;66;17.75
5739.71;804.57;6809.57;55.54;58.29;16.08
4472.29;820.43;6796.14;54.39;78;14.61
4819.57;869.14;6831.86;59.26;137.57;13.56
7005.29;737.29;6902.71;62.43;130.29;9.23
7132.29;774.71;6973.71;59.79;113.43;9.85
5658.14;802.14;6979.14;60.42;114.14;11.79
5786.86;780.43;6694.29;58.49;57.57;6.85
5202.43;856.14;6632.29;58.04;57.43;6.5
5606;1043.29;6756;63.62;84.29;5.86
6369;1154.29;6769.43;74.65;122.57;4.59
7065.71;793.86;7060.71;80.78;143.14;4
7373.14;896.29;7332;88.19;169.14;4
6769.71;866.86;7204.43;90.77;150.57;4
7353.14;529.29;7184.43;92.78;138.71;4
7910.29;579.57;7125.43;95.33;152.57;7.18
7233.57;645;6879.71;96.5;196.57;4
7746.57;590.43;6897.57;96.93;201.57;4
8225.86;481.57;6181.08;96.74;195.43;4
8149.71;567.29;7562.43;96.4;182.86;5.39
7960.43;506.29;7402.86;97.1;308.43;5.14
7580.86;595.71;7244.86;97.16;298.57;4
6934.29;585.57;7543.14;96.71;257.71;4
6894.57;685.14;6300.86;97.01;235;4
4103;322.57;3712.43;97.46;231;4
8126.43;494.43;7391.57;96.01;139;4
7493.57;557.43;7503.43;93.84;132.57;4
7268.57;545.71;7637.14;90.09;122;4
6405.29;618.43;7542.14;86.5;113.43;4
6144.29;780.14;7996.86;84.21;84.57;4
5409.14;825.71;7645.57;83.71;92;4
5070;886.14;7583.14;84.39;95.14;4
5538;943.29;7917.43;88.63;106.57;4
5488.57;958.29;7536.43;90.19;110.14;4
6074;955.71;7752.43;92.81;136.29;4
6241.86;901.86;7570.71;93.61;137.29;4
5998.43;914.57;7385.14;91.73;124.43;4
6505.86;769.57;7529.57;86.95;80;4
5671.29;839.14;7240.71;82.39;65.86;5.48
4006.29;1001.71;6918.14;78.18;57.57;5.48
4106.57;951.29;6927.29;76.56;56.29;5.48
4405;941.57;7128.57;73.96;67;5.48
4690.86;878.57;6934.57;73.87;90;6.51
5399.14;856.57;7111;69.88;61;6.6
5082.57;858.43;7253.86;64.56;50.14;7.18
4333;858.86;6863.43;60.85;47.14;8.44
4395.71;889.57;7077.29;57.82;35.71;11.83
4808.29;828.86;7096.57;62.15;83.29;11.87
5293.14;868.86;6874.71;64.66;91;9.05
5471.14;1022.29;7017.57;63.66;84.86;10.66
5377;727;7007.71;59.96;51.14;13.27
4461.86;679.71;7026.57;866.29;41.43;14.29
4738.43;676.43;6972.14;58.46;57.43;16.83
5157.86;795.29;7062;61.48;68.86;11.62
4739.14;777.86;7051.86;60.99;63.43;11.96
4299;858.57;7070;58.61;41.86;17.11
4343.86;674.86;6983.14;55.68;37.43;18.14
4118.57;912.29;7051.71;52.62;35.57;17.87
4001.29;998.43;7048;49.35;34.14;16.64
3930;924.29;7087.29;45.73;21.43;17.11
3745.71;939.71;7095.71;42.1;19.14;17.92
3738.43;933.71;7086.71;39.41;22.29;17.07
3988.29;926.86;7335.71;36.13;22.57;17.91
3802.29;881.57;7249.71;33.46;23.57;24.2
4039.14;881.57;7342.57;30.92;25.71;26.93
3302.29;1059.71;7062.29;30.85;35;27.06
3166.29;1192;7330;30.04;34.14;22.53
3255.29;1067.71;7253;32.07;39.14;27.37
2907;1202.86;7027;34.2;56.86;23.82
3304;1094.71;7580;33.06;46;29.46
4383.14;999.71;7301.43;35.01;61.71;34.15
4805;992.29;7730.71;39.47;79.29;28.71
4569.57;1069.14;7840.86;40.45;74;24.33
4152.71;1009.29;7581.43;40.32;81.86;23.07
4943.57;1052.14;7493.86;49.61;147.14;16.95
4971.14;896.86;6471.57;66.11;211.14;18.45
4094.86;575;4646.29;77.33;226.4;17.39
1348.57;247;1565.86;84.42;331.5;17.39
6574.86;995.86;7453.71;89.31;247.14;27.05
7463.43;953.43;7866.43;89.43;190.57;25.12
6390.14;1023.29;7884.29;85.83;154.29;17.58
5571.71;1088.43;8047.71;82.82;133.71;27.28
5119.43;1071.71;8039.14;81.63;88.71;18.59
4366.71;1055.86;7843.71;81.08;74.86;18.59
5053;1076.86;7913.71;78.79;66;18.59
4522.29;1001.14;7628.43;75.5;59;18.59
4921.57;1072.57;8076.43;71.24;46;18.59
4735.14;1046.43;8255;66.07;33.71;18.59
4443.86;1018.14;8003.86;62.81;43.71;18.59
4184.57;972.86;7817.43;60.61;45.43;18.59
4524.14;856.14;8109.86;57.53;45.71;18.59
3972.14;899.14;7860;53.99;46.71;18.59
4014.86;1068.86;7194.71;51.09;44.86;18.59
3434.14;1336.86;7663.57;48.75;46.86;18.59
3269.43;1083.57;7570.14;49.06;54.57;18.59
3473.86;1207.57;7315.14;49.84;77.57;18.59
3815.29;1343.86;7379.57;54.18;102.29;18.59
4364.57;1005.57;7307.29;57.8;106.29;18.59
4083.43;1114.14;7366.29;59.56;101.43;18.59
4034.14;812.86;7328.57;64.19;94.86;18.59
3751.86;1130.57;7136.29;66.37;77.14;18.59
4120.71;1181.86;7303.14;72.32;93.29;18.59
5028;1091;7501;75.44;94.14;18.59
4972.43;1282.29;7590.43;75.2;80;18.59
4611;997.71;7411.29;77.04;80.86;18.59
6481.29;883.14;7461.29;81.15;98.57;18.59
8091.14;891.71;7469;86.47;122.57;18.59
7123.86;793.86;7401.43;87.34;118.86;18.59
6879.57;898.57;7498.43;85.45;76.57;18.59
6425.86;1053.29;7404.57;81.53;58.57;18.59
5879.14;874.43;6453.81;76.68;51;18.59
5779.86;1042.57;7636.43;71.53;46.29;18.59
4694.57;863.71;7655;68.04;40.29;18.59
3926.71;968.14;7521.14;65.05;29.14;18.59
4145;1121.43;7474.43;64.23;36.86;18.59
5156.43;1251.71;7670.29;66.46;51.14;18.59
5824.29;1118.71;7703.14;65.52;60;18.59
5567.14;1275.43;7493.14;63.49;51.29;18.59
4891.86;1155.29;7334.71;62.71;49.57;19.3
6099.57;1307.86;7631.71;70.7;78.14;18.59
6649.29;1328.14;7543.86;81.95;99.57;18.59
6684.57;1322.43;7116.71;86.72;176.71;18.59
7138.43;1189;7177;87.68;193.86;18.59
7018.14;1152.86;6971.71;89.08;189;18.59
7048.14;1282.57;7573.29;88.69;170.14;18.59
7169.29;1225.57;7668.71;85.68;121;18.59
6801.71;1194.43;7776.14;81.42;77;18.59
6455.71;1279.71;7738.57;79.02;84.86;18.59
5795.86;1336.29;7155.86;75.69;86.43;18.59
4341.43;1230.57;6659;75.05;84.86;18.59
4875.14;1180.86;7348.71;72.59;56;18.33
4814.71;1185;8078.14;70.73;66.71;18.33
4513.71;1335.86;7839.71;70.06;73;18.33
4456.86;1327;7843.57;68.84;74;18.33
5220.71;1270.57;7950.14;67.79;68.57;18.33
4486.86;1343.29;7623.14;65.26;52;18.33
4990.86;1106.14;8100.71;60.92;43;18.33
5654.29;912.14;8536.14;55.31;37.86;18.33
4681;1070.14;8175.71;50.11;79.29;25.7
4778;1148.29;7559.71;45.12;32.57;25.66
4506.71;1007;8209;40.3;32.29;24.21
2935.57;1227.29;7773.29;36.87;33.71;24.31
2790.29;1408.57;7867.71;35.53;38;31.01
2457.14;1328.43;7831;37.87;132.71;131.02
2967;1212.71;7989.71;40.45;119.57;19.74
2334;997.86;7439.86;41.13;101.57;73.01
2898.71;1022.86;7417.14;41.97;91.57;97.02
2104.19;965;7396.57;42.51;49.29;47.99
2950.57;881;7551;41.47;40.43;46.06
3125;965.86;7639.14;42.53;58.57;149.38
4621.29;626.71;6944.86;54.58;141.43;45.01
4087.43;568;7323.29;63.62;137.43;21.8
3992.71;497;7454.71;1006.13;90.29;18.33
5141.43;791.71;7441.14;70.72;99.43;31.39
6516.29;687.86;7274.29;86.45;173;26.88
6820.14;764;7317.86;92.63;159.71;18.33
6648.29;804.14;7290;92.32;77.29;26.15
5801.57;896;7229;90.54;69.29;32.72
6366.57;872.14;7204.57;88.38;69.29;35.26
6802.86;839.14;7152.29;89.94;83;34.13
6471.43;817.57;7241.29;89.85;80.14;28.46
5236.43;943;7200.43;87.55;67.29;27.13
5307.14;798.57;7250;86.3;69.71;37.36
5677.43;869.57;7266.14;84.41;67.43;32.94
6078.57;871;7313.57;83.82;117.57;47.1
7397;862.71;6875.57;91.46;272;38.93
8418.14;720.86;7296.86;91.15;253.14;18.33
8264.57;723.57;7166.29;91.81;250;18.33
7629;492.43;7211.57;94.27;236.57;18.33
7690.71;1109;7382;95.77;183.71;18.33
7596.14;896.14;7121.86;95.35;247.43;18.33
7531.86;1086.43;7355;92.8;246;18.33
7536.86;1005.29;7480.43;92.1;234.14;18.33
7141.14;1017.57;6995.57;90.92;239.57;18.33
7140.57;1099.71;7403.14;91.25;216;18.33
7591.14;943.57;7444.14;91.89;189.29;18.33
7313.86;1165.57;7931.86;90.4;160.71;33.35
6875.14;1224.29;7980.57;87.99;125.57;31.8
5993;1190.71;7827.57;85.22;75.57;18.33
4712.57;1328.71;7609.57;78.57;65.71;18.33
4598.14;1257.86;7886.71;80.32;60.43;18.33
5023.71;1197.86;9432.71;77.6;72.14;18.33
422.57;156.57;916.86;78.82;57;16.92
3972.86;1297.86;8504.86;77.07;51;16.92
3712.29;1033.71;7119.14;74.51;46.17;16.92
4916.71;1245.43;8092.14;72.25;49.71;40.05
4800.71;1214;8392.71;71.63;51.71;66.75
5406;1216.43;8455.57;68.93;44.71;60.15
4415.29;1344.71;8332.57;66.36;45.14;82.97
4680.86;1246.71;8417.71;63.94;45.43;53.07
3791.86;1149.29;7926.86;62.81;49.29;42.67
4672.43;1381.14;8390.43;60.41;50.71;43.75
4754.29;1502.57;8553.71;56.59;44.14;43.91
4795.57;1488.43;8550;52.84;44.57;41.08
3941.86;1357.57;8002.14;51.94;52.43;38.65
4303;1136.43;8128.14;49.19;71.71;22.83
3576;1161.43;7720.86;46.83;63;21.6
3401.43;874;7344.57;45.31;56;17.06
3782.57;877.43;7765.14;43.21;51;16.92
3022.71;874.14;7322.86;40.61;27.71;35.76
2993;971.86;7662.14;38.32;19.29;48.9
2855.71;981.29;7613.86;36.2;20.14;55.75
3083.43;951.14;7662.43;33.52;20;55.32
2766.57;956.57;7732.71;31.44;19.33;60.21
2474.43;901.57;7705;29.29;15.14;61.31
1847.14;887.86;7374.57;27.83;15.86;64.73
2119.14;978;7601;28.28;17.14;70.34
1776.71;916;7477.29;29.48;22.14;71.6
1647.43;925.14;7614.14;29.17;19;93.9
1600.29;1054.14;7681.71;29.12;18.29;89.05
1445.29;998.71;7584.43;28.66;18.14;85.07
1537.43;932.14;7697.43;28.85;19.57;90.49
1471.57;1016.14;7479.71;31.54;31.57;104.9
1678;884.29;7721.43;31.93;29.57;100.43
2223.57;938.71;6565.85;32.83;34.14;96.45
1798.29;1023.14;7417.43;37.98;53.29;94.53
2276.14;1083.43;7484.29;38.73;48.43;125.24
2781;1278.57;7036.14;39.18;49.71;123.42
3106.29;1402;6456.29;40.24;45.29;115.5
3253;1616.86;7440.43;40.39;43.86;123.32
3646.57;1773.57;7565.43;42.31;47.43;127.89
4288.86;1779.57;7733.71;43.55;54.29;105.57
3540.57;1861.14;7471.43;44.62;52;112.73
4101.29;1651.86;7640.71;44.88;47.14;81.51
4628.14;1374.86;7932.14;44.09;44;80.71
4300.14;1257.57;7738.71;41.06;40.86;69.65
2873.14;1224.86;7651.29;41.38;54;94.81
3305.57;1024.57;7761.29;41.6;52.71;68.65
3823.86;897.43;7958.57;43.73;61.71;79.27
3909.29;1135.29;7978.29;47.42;75.14;85.75
4203;1174.57;8252.57;48.99;89.71;79.07
3902.57;1241.86;8421.29;49.17;87;69.47
3824.57;1300.86;8496.43;48.04;76.43;50.36
3149.43;723.57;7010;51.41;86.29;36.37
660.71;186.57;1887.86;55.05;96;34.04
3881.71;945.86;8269.86;59.07;108.14;36.41
3968.29;899.29;8403.86;61.04;108.57;17.59
3823.43;830.71;8590.43;62.21;103.71;17.59
4042;944.71;8706.57;63.11;94.43;17.59
4749.29;765.14;8733.71;63.51;73.86;17.59
4403.57;581.29;8594;62.44;66.86;17.59
3420.57;653;8031.57;62.79;64.29;17.59
4770.57;786.71;8763;68.81;101.43;17.59
5246.86;804.86;8849.71;74.37;165.29;17.59
5429.29;820.86;8642.57;76.3;141.86;17.59
5562.29;799.43;8352.43;80.2;142.71;17.59
6503;622.86;9007.14;81.59;138.57;17.59
5571.57;824.57;8180.43;79.79;95.57;17.59
5580.14;576.29;7970.29;79.44;95.43;62.58
6432.86;583.29;8616;78.37;96.43;53.76
6172.14;593.29;8381.43;77.61;99;55.25
7315.29;548.14;7668.71;82.41;139;54.7
8059.29;365.14;7940.71;83.54;135.57;20.42
9405;431;7935.71;86.91;157;19.43
9979.57;388.71;7884.71;89.36;210.71;17.59
9272.14;390.29;7802.71;90.7;231.71;17.59
9239.86;667;7461.14;91.31;162.14;29.15
8775.14;948.29;7854.14;89.8;128.43;54.17
8178.14;1223.14;8005.43;85.5;102.29;65.06
7907.14;1194;8023.71;79.91;86.57;81.49
7436.29;1161.29;7949.57;74.53;41.86;138.89
6607.29;1280.57;8020.14;73.53;60.71;141.55
8035.86;1279.29;7919;75.37;83.71;130.1
7454.14;1250.29;7790.43;77.36;100;115.9
7567.71;1301.43;7945.71;79.63;105.71;57.95
8296.86;1136.57;7950.43;79.37;117.29;17.59
8059.57;1158.14;7960.29;75.91;89.71;26.94
7639.57;1249.14;8000;70.84;74;33.88
8096.71;896.57;8025.43;64.67;64.86;56.58
5179;1028.86;7791.71;61.94;55;128.1
5667.57;1050.43;8089;59.79;44.57;130.81
5790.43;1305.71;7975.43;56.5;39;147.26
6581.14;1343.43;7894;59.96;58.71;186.16
7156;1331.29;8013.14;60.57;52.57;165.13
7695.86;1384.29;8134.14;56.29;39.71;172.08
7029.86;1416;7942.86;57.59;55.86;205.54
7311.29;1230.14;8144;61.29;73.57;209.7
7529.57;1100.57;8067.14;60.33;134.86;237.66
7624.43;1229.29;7967.71;66.14;216.57;223.89
7550.14;1414.29;7770.71;71;187.57;181.3
7714.86;1582.29;8203.14;77.23;183.29;150.54
7921.14;1598.43;8463.14;76.86;162.29;169.19
7651.57;1660.43;8779.43;73.83;76;189.25
8053.43;1408.71;8776.57;73.79;105.57;212.2
7336.57;1558.14;8741.43;72.81;112.86;200.48
5462.57;1621.57;7641.71;72.07;109;199.76
2318;666.57;3005.71;72.5;109.67;247.01
7856.71;1595.29;8941.71;73.69;133.86;472.21
8641.14;1197.71;9122.71;70.53;122;569.59
7603;1146.57;8669;67.57;116;569.59
7380;1294.29;8756.29;64.41;108.57;550.28
6097.29;1273.86;8483.71;62.63;87.29;253.32
7235.43;1314.86;8972;59.19;73.29;122.33
7826.71;1397;9335.43;54.17;68;155.84
6398;1265.86;9223;49.5;64.29;207.36
5097.86;1175.43;8874;47.19;73.86;137.23
4769;1232.29;8996.43;44.97;66.29;129.66
3764;966.71;8579;43.86;64.86;173.39
3701.29;1196.29;8858.71;43.43;63.71;63.99
3767.57;919.14;8800.14;42.31;52.57;82.27
3456.86;928.86;8906.43;40.44;42;115.62
3218.71;719.29;8381.14;40.31;53.57;68.18
2848.14;842.57;8055.71;42.91;71.29;15.47
3525.71;780.43;7904.57;47.71;114;39.19
4001.86;1050.14;7858.29;60.87;226.86;28.48
4724.29;874;7985.71;67.77;187.29;15.47
4858.86;1113.57;8169.57;69.27;154.57;33.45
6243.29;1092.86;8279.71;67.27;128.57;49.34
6236.14;1142.86;8373.14;64.24;65.57;76.12
7475;1241.86;8284.43;63.7;76.57;76.03
7452.14;1160.86;8306.57;64.57;87.14;69.88
7550.71;1170.86;8459;63.87;88.57;76.72
7979.14;1080.71;8250.71;68.39;113.86;88.11
8281.86;893.43;8271.29;68.71;100.86;91.32
7483.71;569.57;8332.14;64.97;80.71;102.53
7433.57;613.29;8318.29;60.63;69.43;110.12
6720.57;997.71;8388;57.16;63.86;145.35
6107;1072.14;8287.29;55.44;68.43;138.25
5695.43;921.14;8262.57;57.09;76.14;117.49
6739;906.86;8331;61.89;93.29;77.05
6662.43;832.43;8295.86;63.37;97;66.79
7511.57;662.57;8199.29;58.59;55.71;105.62
8679.29;617.29;8110.43;59.84;77;118.04
7876.14;617.14;8145.14;57.44;74;120.97
7013.29;646.29;8283.14;54.04;60.43;100.23
6408.14;873.86;8047.86;59.5;94.14;97.53
7010;795.86;8356.71;65.97;103.43;74.28
9254.86;928.71;8357.71;75.64;119.29;93.2
10423;919.71;8320;87.06;150;98.71
10789.71;469.29;8315.14;94.84;349.29;36.41
9702.86;385.57;8395.86;96.37;299.57;104.08
10485.29;365.71;8298.29;96.5;267;100.21
10395.29;389.71;8618.43;95.67;231;91.04
8912.86;573.43;8578.14;92.54;130.57;95.35
8429.43;661.43;8833.14;88.59;84.57;103.42
8263.57;622.14;8394.29;83.44;78.57;113.15
6327.43;1288.43;7561.71;78.4;72.71;91.34
3734.14;825.57;5230.71;75.72;68;74.1
6604.43;417.29;7777.29;72.7;64;28.13
8407.43;644.29;8610.14;68.37;69.71;62.27
6956.29;1056.14;8618.14;64.61;73.29;137.52
6220.14;897.86;8955.71;62.44;75.14;108.4
6113.14;823.14;9004.71;59.43;55.14;65.15
5667.14;785.43;9190.71;55.91;49.14;61.44
5371.86;831.71;9206;53.01;47.57;84.42
3397.29;1085.43;8222.29;53.03;52.43;16.31
5644.29;933;9222.86;54.17;96.86;59.91
4886.43;901;9046.43;53.17;88.71;80.7
4375.14;1033.43;8936.29;51.84;79;106.95
4035.86;748.43;9066.71;49.61;67.86;94.06
3618.43;568.43;9110.71;47.29;50;105.13
3378.14;511;8575.43;44.63;31.43;16.31
3057.43;594.57;8608;42.46;29.14;49.12
2221.57;1053;8229.86;40.39;27.14;37.93
2241.14;1065.43;8264.57;39.06;25.71;45.12
1989.29;1118.14;8249.57;37.57;15.57;45.76
1851.43;1294.14;8402.14;36.41;16.43;36.21
1906.29;1195.43;8123.29;36.93;25.14;36.1
1772;1320.29;8274.14;36.93;26.43;36.99
1498;1277.43;8027;38.77;45.71;37.59
1768.43;1091;7978.29;40.03;41.43;34.97
1899.57;1192.14;8186.14;40.44;36.57;40.8
1886.86;1305.14;8303;41.61;37;42.68
2217.29;1016.71;8292.14;43.24;42.29;51.6
2468.57;987.71;8213.29;45.97;50.43;38.84
4412.71;806;7974.43;55.16;85;31.28
